model,task_id,role,hard,judge,total,reason,status,error
Devstral-Small-2505-Q4_K_M,W03,Writer,78.6,85.0,82.12,"required 6/7; forbidden=none; chars=399 | JUDGE: 일반/긴급 변경 절차 분리 및 단계 명확화(사전/실행/검증/롤백)는 충분히 반영됨. 감사 지적(요청 기록, 승인자 분리, 백업 확인, 롤백 책임)은 정책 요구사항에 따라 대응되었으나, 긴급 변경의 '사후승인 기한'은 24시간 명시로 해결했지만 '사전 백업 증적'은 단계별 체크리스트 형식으로 구체화되지 않음. 책임 흐름은 명확하지만, 롤백 기준이 '문제 발생 시'라는 모호한 표현 사용.",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,C01,Coding,88.9,,88.9,"pytest passed=8 failed=1; tampered=[]; ..F......                                                                [100%]
================================== FAILURES ===================================
______________________ test_member_after_volume_discount ______________________

    def test_member_after_volume_discount():
        # 100000 -> 90000 -> member 5% => 85500 -> tax 10% => 94050
>       assert calculate_invoice([100000], 0.10, True) == 94050
E       assert 93500 == 94050
E        +  where 93500 = calculate_invoice([100000], 0.1, True)

C:\AI\Benchmark_v7_2_1\runs\Ministral-3-3B-Instruct-2512-Q4_K_M\C01\tests\test_pricing.py:11: AssertionError
=========================== short test summary info ===========================
FAILED tests\test_pricing.py::test_member_after_volume_discount - assert 9350...
1 failed, 8 passed in 0.04s
",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,C02,Coding,0.0,,0.0,"pytest passed=0 failed=1; tampered=[]; turn _bootstrap._gcd_import(name[level:], package, level)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
<frozen importlib._bootstrap>:1206: in _gcd_import
    ???
<frozen importlib._bootstrap>:1178: in _find_and_load
    ???
<frozen importlib._bootstrap>:1149: in _find_and_load_unlocked
    ???
<frozen importlib._bootstrap>:690: in _load_unlocked
    ???
..\..\..\.venv\Lib\site-packages\_pytest\assertion\rewrite.py:188: in exec_module
    exec(co, module.__dict__)
..\..\..\fixtures\C02\_grader\test_hidden_pipeline.py:2: in <module>
    from pipeline import make_feature, split_time
E     File ""C:\AI\Benchmark_v7_2_2\runs\Ministral-3-3B-Instruct-2512-Q4_K_M\C02\pipeline.py"", line 6
E       out['ma'] = out['value'].rolling(window, center=False, min_periods=1).mean()    return out
E                                                                                       ^^^^^^
E   SyntaxError: invalid syntax
=========================== short test summary info ===========================
ERROR tests\test_pipeline.py
ERROR ..\..\..\fixtures\C02\_grader\test_hidden_pipeline.py
!!!!!!!!!!!!!!!!!!! Interrupted: 2 errors during collection !!!!!!!!!!!!!!!!!!!
2 errors in 0.37s
",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,C03,Coding,62.5,,62.5,"pytest passed=5 failed=3; tampered=[];       return self.cache[key]
    
        for attempt in range(self.max_retries + 1):  # max_retries + 1번 시도 (재시도 포함)
            try:
                status, data = self.transport(key)
                if status >= 400 and status < 500:  # 4xx는 재시도하지 않음
                    raise RuntimeError(f'HTTP {status}')
                elif status >= 500:  # 5xx는 재시도 대상
                    if attempt < self.max_retries:
                        continue  # 재시도 후 다시 시도
                    else:
                        raise RuntimeError(f'HTTP {status}')
    
                self.cache[key] = data  # 성공 시 캐싱
                return data
            except Exception as e:
                continue
>       raise RuntimeError('Request failed after max retries')
E       RuntimeError: Request failed after max retries

api_client.py:26: RuntimeError
=========================== short test summary info ===========================
FAILED tests\test_api_client.py::test_404_not_retried - AssertionError: asser...
FAILED ..\..\..\fixtures\C03\_grader\test_hidden_api.py::test_400_immediate
FAILED ..\..\..\fixtures\C03\_grader\test_hidden_api.py::test_arbitrary_exception_not_retried
3 failed, 5 passed in 0.04s
",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,D01,Data,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: trend.png: missing
Ministral-3-3B-Instruct-2512-Q4_K_M,D02,Data,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: analysis.json: invalid json (JSONDecodeError)
Ministral-3-3B-Instruct-2512-Q4_K_M,D03,Data,25.0,,25.0,metrics 0/5; files 2/2; old_yield=missing; new_yield=missing; improvement_pp=missing; annual_scrap_saving_won=missing; recommend_new=missing,DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,K01,Critic,77.5,95.0,83.625,"required 3/6; forbidden=none; chars=624 | JUDGE: 실제 산출물은 원자료 기반으로 중대한 사실오류(전체 공장 불량률 확정, AI 단일 원인 주장, 연간 절감액 근거 부족)를 정확히 탐지했으며, severity 분류와 수정안이 적절합니다. 다만 '14% 검사시간 단축'의 인과관계에 대한 추가 설명이 생략되어 소폭 감점 처리되었습니다.",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,K02,Critic,88.8,95.0,90.97,"required 3/4; forbidden=none; chars=1295 | JUDGE: 4개의 독립적 보안 문제를 정확히 식별함. SQL Injection(중대), 로그 미완료(고위험), 비밀번호 노출(중간), audit 테이블 수정 취약(중간)이 현실적인 시나리오와 구체적 수정 방향을 제시. 원자료 기반의 객관적 분석이며, PPT AUDIT 요건(객관성/정보 밀도) 충족. 단, audit 테이블에 'status' 및 'last_login_time' 추가 수정 방안은 원 코드에 없는 필드 변경을 암시해 일부 주관적 해석 가능.",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,K03,Critic,85.0,65.0,78.0,"required 5/5; forbidden=none; chars=367 | JUDGE: 원자료에 따르면 Slide1의 '전체 공장 불량률 3.1%'은 파일럿 라인 수치를 오용했고, Slide2의 ROI/절감액은 산정 중임에도 '확정'으로 표기되어 사실오류 발생. Slide3의 '6개 라인 즉시 확대'는 검증 계획 미반영으로 의사결정 리스크 존재. 시각적 요소(차트/표) 부재로 정보밀도 낮음. 수정이 필요함.",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,P01,PPT,80.3,78.0,79.83999999999999,"open=OK; slides=6/8; required=5/6; visuals=4/2,charts=2/0,tables=2/0; objective=30.0/40; forbidden=none; design=100.0/100 (weighted 25.0/25) sparse=[] empty_tables=0 dict_leaks=0; judge_cap=78 | JUDGE: [objective cap 78; raw judge 80.0] PPT AUDIT shows 80.3/100 with perfect design score but missing source data visibility (defect/oee values not in charts). Slides 2-5 meet visual requirements, but slide 6 has low coverage (47.7%) and no visuals despite being the final decision slide. 2026 pilot scope is marked in slides 2/5, and two data visualizations exist. However, the final recommendation lacks explicit connection between conditions/risks and decision wording compared to audit's 'final_decision_with_conditions' flag.",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,P02,PPT,52.0,60.0,53.599999999999994,"open=OK; slides=4/7; required=3/6; visuals=2/2,charts=1/1,tables=1/1; objective=12.0/40; forbidden=none; design=80.0/100 (weighted 20.0/25) sparse=[4] empty_tables=0 dict_leaks=0; judge_cap=60 | JUDGE: [objective cap 60; raw judge 62.0] PPT AUDIT reveals critical errors: cumulative cash flow chart mismatch, incorrect payback calculation (3.29 vs reported 1/3/4 years), only 2/3 risks completed. Slide 4 is sparse with no content. Design issues include low coverage on slide 3 and missing takeaways. While visuals meet basic requirements, factual inaccuracies and incomplete elements hinder decision-making clarity.",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,P03,PPT,79.5,60.0,75.6,"open=OK; slides=6/6; required=5/6; visuals=2/1,charts=1/0,tables=1/1; objective=21.4/40; forbidden=none; design=99.0/100 (weighted 24.8/25) sparse=[] empty_tables=0 dict_leaks=0; judge_cap=60 | JUDGE: [objective cap 60; raw judge 79.0] PPT AUDIT indicates incomplete timeline events (1/5 expected) and missing direct trigger visibility despite content mentions. Action table has all rows but critical error flag exists. Design score is high (99), but required elements like full timeline and explicit direct trigger are lacking. Slides 3-5 address uncertainty and actions, but story flow is hindered by incomplete data visualization and sparse takeaways on key slides.",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,R01,Research,91.0,85.0,88.89999999999999,"required 4/5; citations 13/4; forbidden=none; chars=941 | JUDGE: 최신 공고 기준으로 문서 우선순위를 올바르게 판단했으나, 평가 기준 섹션에서 '중소기업 자원 부족'이라는 근거는 원자료에 명시되지 않음. 충돌 정보(지원대상)와 일정 변경은 정확히 분리했으나, 예산 증액의 경우 사전안내 대비 수정사항을 [final_notice.txt:L4]만 인용해 [early_notice.txt:L3]도 함께 명기해야 함. 의사결정 요령의 '제휴 파트너 협력'은 원자료에 직접적 근거 없음. 기타 인용 형식과 구조는 적절함.",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,R02,Research,92.5,65.0,82.875,"required 5/6; citations 5/5; forbidden=none; chars=584 | JUDGE: 필수조건 적용 오류: 원자료의 SLA(99.90%) 및 P1 응답시간(4시간) 기준을 산출물이 99.8%/12시간으로 왜곡해 잘못된 적합성 판단. Vendor A는 P1 8시간, Vendor B는 SLA 99.90%를 만족하지만 탈락 처리됨. 총비용 계산은 정확하나 필수조건 AND 조건 미준수로 인한 추천 일관성 결여.",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,R03,Research,91.0,95.0,92.4,"required 4/5; citations 8/5; forbidden=none; chars=858 | JUDGE: 타임라인은 원자료 기반 정확한 시간순서 유지 [incident_log.txt:L1-L8]. 직접 트리거(분진 축적 + 청소 주기 과다)와 근본원인(냉각 불량/베어링 마찰 증가) 구분 명확. 확인 불가능 항목(베어링 진동값)을 명시적으로 표기 [maintenance_note.txt:L4]. 가능한 원인 2가지를 복수로 제시하고, 후속 검증조치(청소 주기 재설정/모니터링/데이터 수집 시스템 구축)는 구체적. 단, '보호정지 로그만으로 근본원인 단정 안됨' [manual.txt:L5]의 지침이 직접 트리거 분석에 반영되지 않아 소폭 감점.",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,W01,Writer,77.5,85.0,81.625,"required 5/6; forbidden=none; chars=346 | JUDGE: 결론(조건부 승인)이 명확하고, 원자료 수치(투자비 4.2억, 불량손실 3억, 파일럿 감소율 22%)가 반영되었으나, '연간 0.64억원' 계산에서 3억 × 22% = 0.66억 원과 차이 발생. 파일럿 일반화 한계(1라인/6라인)와 불확실성 명시가 적절하며, 다음 단계(확장 테스트/데이터 분석)는 실행 가능. 다만 수치 정확도 미흡으로 인해 완벽한 일치를 기대하기 어려움.",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,W02,Writer,85.0,85.0,85.0,"required 6/6; forbidden=none; chars=564 | JUDGE: 타임라인과 영향 분리, 직접/근본원인 구분, 확인되지 않은 수치(5,000명 이상) 사용은 원자료 기준 미충족. 재발방지 조치에 owner/검증 방법 명시 부재로 인해 일부 수정 필요. 전문적 문체 유지.",DONE,
Ministral-3-3B-Instruct-2512-Q4_K_M,W03,Writer,78.6,85.0,82.12,"required 6/7; forbidden=none; chars=765 | JUDGE: 일반/긴급 변경 절차 분리 및 단계 명확화(사전/실행/검증/롤백) 완료. 감사 지적사항 중 '티켓 번호 할당', '승인자 분리', '백업 확인', '24시간 사후 승인'은 반영되었으나, 롤백 책임자 명시 및 작업자-승인자 분리 시나리오 구체성 부족. 체크리스트 형식은 실무 사용 가능하지만, 일부 단계(예: 복구 테스트 성공 기준)에 대한 세부 기준 미제시.",DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,C01,Coding,100.0,,100.0,"pytest passed=9 failed=0; tampered=[]; .........                                                                [100%]
9 passed in 0.02s
",DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,C02,Coding,100.0,,100.0,"pytest passed=6 failed=0; tampered=[]; ......                                                                   [100%]
6 passed in 0.27s
",DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,C03,Coding,0.0,,0.0,"pytest passed=0 failed=1; tampered=[]; portlib.import_module(module_name)
C:\Users\<USER>\AppData\Local\Programs\Python\Python311\Lib\importlib\__init__.py:126: in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
<frozen importlib._bootstrap>:1206: in _gcd_import
    ???
<frozen importlib._bootstrap>:1178: in _find_and_load
    ???
<frozen importlib._bootstrap>:1149: in _find_and_load_unlocked
    ???
<frozen importlib._bootstrap>:690: in _load_unlocked
    ???
..\..\..\.venv\Lib\site-packages\_pytest\assertion\rewrite.py:188: in exec_module
    exec(co, module.__dict__)
..\..\..\fixtures\C03\_grader\test_hidden_api.py:2: in <module>
    from api_client import ApiClient
E     File ""C:\AI\Benchmark_v7_2_2\runs\Ministral-3-8B-Reasoning-2512-Q6_K\C03\api_client.py"", line 31
E       else:
E            ^
E   IndentationError: unindent does not match any outer indentation level
=========================== short test summary info ===========================
ERROR tests\test_api_client.py
ERROR ..\..\..\fixtures\C03\_grader\test_hidden_api.py
!!!!!!!!!!!!!!!!!!! Interrupted: 2 errors during collection !!!!!!!!!!!!!!!!!!!
2 errors in 0.12s
",DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,D01,Data,,,0.0,,ERROR,max_agent_steps reached; missing/invalid deliverables: analysis.json: invalid json (JSONDecodeError); yearly_summary.csv: missing
Ministral-3-8B-Reasoning-2512-Q6_K,D02,Data,89.3,,89.3,metrics 6/7; files 2/2; line_A_mtbf=180.0 True; line_B_mtbf=100.0 True; line_C_mtbf=146.0 True; line_A_mttr_h=0.75 True; line_B_mttr_h=1.0 True; line_C_mttr_h=0.83 False; priority_line=B True,DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,D03,Data,70.0,,70.0,metrics 3/5; files 2/2; old_yield=96.0 False; new_yield=98.5 False; improvement_pp=2.5 True; annual_scrap_saving_won=45000000.0 True; recommend_new=True True,DONE,
Ministral-3-8B-Reasoning-2512-Q6_K,K01,Critic,92.5,100.0,95.125,"required 5/6; forbidden=none; chars=1520 | JUDGE: 모든 중대한 사실오류(전체 불량률 일반화, AI 단일 원인 주장, 연간 절감 추론, 즉시 확대 도입)를 정확히 탐지했으며, severity 분류와 수정안이 source_data.txt의 내용과 일치. 인과 과장 구분 및 실행 가능한 수정 제안이 명확. 산출물에 없는 시각요소/표 없음.",DONE,
