model,task_id,role,score,method,reason
DeepSeek-R1-0528-Qwen3-8B-Q6_K,K01,Critic,0.0,objective,필수개념 0/2
DeepSeek-R1-0528-Qwen3-8B-Q6_K,K02,Critic,100.0,objective,필수개념 4/4
DeepSeek-R1-0528-Qwen3-8B-Q6_K,K03,Critic,88.0,hybrid,Hybrid: 자동검증 88.0점 × 50% + Judge 88.0점 × 50%. Judge: 모순 지적과 수치 충돌 설명이 명확하고 자동 검증 결과의 핵심 항목을 대부분 충족함. 다만 '약 4주'라는 표현이 누락되어 감점.
DeepSeek-R1-0528-Qwen3-8B-Q6_K,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: SQL Injection 문제는 정확히 지적했으나, 하드코딩된 비밀번호 문제는 언급하지 않았고, SQL 문법 오류라는 잘못된 설명을 추가해 사실오류가 있음"
DeepSeek-R1-0528-Qwen3-8B-Q6_K,K05,Critic,80.0,hybrid,Hybrid: 자동검증 80.0점 × 50% + Judge 80.0점 × 50%. Judge: JSON 형식이 아니어서 score 필드에서 복구
DeepSeek-R1-0528-Qwen3-8B-Q6_K,D01,Data,100.0,objective,정답 86.0 발견
DeepSeek-R1-0528-Qwen3-8B-Q6_K,D02,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-0528-Qwen3-8B-Q6_K,D03,Data,100.0,objective,정답 0.2687 발견
DeepSeek-R1-0528-Qwen3-8B-Q6_K,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
DeepSeek-R1-0528-Qwen3-8B-Q6_K,D05,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-0528-Qwen3-8B-Q6_K,P01,PPT,65.0,hybrid,"Hybrid: 자동검증 65.0점 × 45% + Judge 65.0점 × 55%, 실패한 핵심조건 상한 75.0점. Judge: 슬라이드 수가 4장으로 부족하여 자동검증 FAIL. 문제 흐름(문제→근거→대안→결정)은 일부 반영되었으나, 경영진 관점과 명확성, 중복 최소화 측면에서 개선 필요"
DeepSeek-R1-0528-Qwen3-8B-Q6_K,P02,PPT,80.0,hybrid,"Hybrid: 자동검증 80.0점 × 35% + Judge 80.0점 × 65%. Judge: 차트 유형과 제목은 적절하며, 파일럿 정보는 명시됨. 그러나 5.2%와 4.8%의 수치가 차트에 직접적으로 표현되지 않아 자동검증에서 누락되었음."
DeepSeek-R1-0528-Qwen3-8B-Q6_K,P03,PPT,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 5장 구조 충족, 각 슬라이드별 핵심 내용 정확히 2개 제시. VRAM과 양자화 설명이 명확하고, 멀티에이전트 배치 이유도 논리적이다. 다만 '로컬 LLM vs 클라우드 LLM'에서 '실시간 처리 가능'이라는 표현은 약간 모호할 수 있어 소폭 감점."
DeepSeek-R1-0528-Qwen3-8B-Q6_K,P04,PPT,100.0,objective,필수개념 2/2
DeepSeek-R1-0528-Qwen3-8B-Q6_K,R01,Research,100.0,objective,필수개념 3/3
DeepSeek-R1-0528-Qwen3-8B-Q6_K,R02,Research,50.0,objective,필수개념 2/4
DeepSeek-R1-0528-Qwen3-8B-Q6_K,R03,Research,85.0,hybrid,"Hybrid: 자동검증 90.0점 × 50% + Judge 80.0점 × 50%. Judge: 센서 A와 B 모두 요구조건을 완전히 만족하지 못함을 정확히 판단했으나, 센서 A의 측정범위가 -30°C를 포함한다고 잘못 기술해 감점."
DeepSeek-R1-0528-Qwen3-8B-Q6_K,R04,Research,100.0,objective,필수개념 4/4
DeepSeek-R1-0528-Qwen3-8B-Q6_K,W01,Writer,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 사실 중 '한 개 라인에서만 검증'이 누락되어 감점되었으며, 자동검증 결과에 따라 추가 감점이 적용됨."
DeepSeek-R1-0528-Qwen3-8B-Q6_K,W02,Writer,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 3문장으로 정확히 구성되었고, 전문 용어를 비전공자도 이해할 수 있도록 쉽게 설명함. 다만 '고차원 임베딩 공간'에 대한 설명이 약간 복잡해 더 간단하게 할 수 있었음."
DeepSeek-R1-0528-Qwen3-8B-Q6_K,W03,Writer,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 40% + Judge 50.0점 × 60%, 실패한 핵심조건 상한 70.0점. Judge: 예산 우선 시 B안을 권고하는 내용이 명확하지 않음. 정확도 우선 시 A안을 권고하는 점은 충족했으나, 트레이드오프 설명 부재 및 단일결론처럼 보이는 표현이 있음."
DeepSeek-R1-0528-Qwen3-8B-Q6_K,W04,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 원인 미확정을 유지했으나, '원인 규명 작업'이라는 추가 내용이 없던 원래 메모에 포함되지 않은 표현으로, 자동검증에서 PASS한 항목 중 '없는 일정/원인/성과를 추가하지 않음' 기준에 위배됨."
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,C01,Coding,50.0,objective,필수개념 1/2
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,C02,Coding,100.0,objective,필수개념 3/3
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,C03,Coding,40.0,objective,필수개념 2/5
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,C04,Coding,0.0,objective,"유효 알고리즘=FAIL, 평균 O(n) 설명=FAIL"
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,C05,Coding,100.0,objective,필수개념 3/3
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,K01,Critic,50.0,objective,필수개념 1/2
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,K02,Critic,0.0,objective,필수개념 0/4
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,K03,Critic,58.0,hybrid,"Hybrid: 자동검증 52.0점 × 50% + Judge 64.0점 × 50%. Judge: 응답은 기간 모순을 지적했으나, 자동검증 결과에 따라 누락된 핵심 수치(6주, 7월31일, 약 4주, 8주) 중 일부를 포함하지 않아 감점됨."
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: 하드코딩된 비밀번호 문제는 식별했으나, 수정 방향에서 '환경변수/Secret 관리' 대신 '비밀번호 해시'를 제안해 수정 방향이 평가기준과 일치하지 않음. SQL Injection 문제는 정확히 식별하고 parameterized query 사용을 제안함."
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,K05,Critic,70.0,hybrid,"Hybrid: 자동검증 80.0점 × 50% + Judge 60.0점 × 50%. Judge: 자동 검증 결과 중 '작은 표본 지적'이 미검출되어 감점되었으나, 다른 두 가지 관점(외적 타당성, 불확실성)은 충족함. 그러나 '보장'이라는 표현에 대한 비판이 부족하고, 91.7%의 계산 정확성 문제도 언급되지 않음."
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,D01,Data,100.0,objective,정답 86.0 발견
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,D02,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,D03,Data,0.0,objective,"기대값 0.2687, 추출값 [0.02, 0.9, 0.02, 1.0, 0.05, 0.97, 0.9, 0.02, 0.97, 0.18]"
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,D04,Data,40.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=FAIL, 집계값 내림차순 정렬=FAIL"
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,D05,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,P01,PPT,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 6장 구성 및 문제→근거→대안→결정 흐름 준수. 각 슬라이드 메시지 명확하고 경영진 관점 반영. 단, '구현挑战' 제목은 영어로 작성되어 경영진에게 다소 부담스러울 수 있음."
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,P02,PPT,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 35% + Judge 70.0점 × 65%. Judge: 차트 유형은 적절하지만, 파일럿 라인임을 명확히 표시하지 못했고, 수치가 누락되어 자동검증에서 실패함."
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,P03,PPT,49.0,hybrid,"Hybrid: 자동검증 60.0점 × 45% + Judge 40.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 각 슬라이드당 핵심 내용이 5개로 요구사항(2개)을 크게 초과함. 자동검증 결과에 따라 감점이 적용되었으며, 콘텐츠 밀도와 구조적 정확성에도 문제가 있음."
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,P04,PPT,50.0,objective,필수개념 1/2
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,R01,Research,100.0,objective,필수개념 3/3
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,R02,Research,50.0,objective,필수개념 2/4
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,R03,Research,40.0,hybrid,"Hybrid: 자동검증 55.0점 × 50% + Judge 55.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 센서 A의 측정범위 -30°C는 -20~80°C 밖에 있으나, 응답에서는 '내에 있습니다'라고 잘못 기술해 사실 오류가 있음. 또한 탈락 센서를 적합하다고 판단하는 역방향 주장은 자동검증에서 감점 사항이지만, 이는 반영되지 않아 점수 감점이 부족함."
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,R04,Research,55.0,objective,"필수개념 3/4, 추측항목 포함 ['냉각팬'] → -20"
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,W01,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 70.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 수치와 기간은 정확히 포함되었으나, 문체가 보고서 형식에 부합하지 않으며 '작성' 대신 '기록했습니다' 등의 표현이 적절하지 않음. 또한 분량이 부족해 자동검증에서 감점됨."
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,W02,Writer,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 3문장으로 정확히 구성되었고, 전문 용어를 비전공자도 이해할 수 있도록 쉽게 설명함. 다만 '근似'은 '근접'로 수정하는 것이 더 자연스러웠을 수 있음."
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,W03,Writer,26.0,hybrid,"Hybrid: 자동검증 14.0점 × 40% + Judge 34.0점 × 60%, 실패한 핵심조건 상한 70.0점. Judge: 자동검증 결과에 따라 예산 및 정확도 우선 권고 패턴 누락, 대안 언급 미비, 글자 수 과다로 인한 감점이 적용됨."
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,W04,Writer,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 40% + Judge 62.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 원인 미확정을 유지하지 못했고, 자동검증에서 지적된 '원인 | 미정 | 모름'이 누락됨. 문체는 공식적이지만 내용 부족으로 인해 감점."
DeepSeek-R1-Distill-Llama-8B-Q6_K,C01,Coding,100.0,objective,필수개념 2/2
DeepSeek-R1-Distill-Llama-8B-Q6_K,C02,Coding,100.0,objective,필수개념 3/3
DeepSeek-R1-Distill-Llama-8B-Q6_K,C03,Coding,100.0,objective,필수개념 5/5
DeepSeek-R1-Distill-Llama-8B-Q6_K,C04,Coding,0.0,objective,"유효 알고리즘=FAIL, 평균 O(n) 설명=FAIL"
DeepSeek-R1-Distill-Llama-8B-Q6_K,C05,Coding,100.0,objective,필수개념 3/3
DeepSeek-R1-Distill-Llama-8B-Q6_K,K01,Critic,100.0,objective,필수개념 2/2
DeepSeek-R1-Distill-Llama-8B-Q6_K,K02,Critic,75.0,objective,필수개념 3/4
DeepSeek-R1-Distill-Llama-8B-Q6_K,K03,Critic,88.0,hybrid,"Hybrid: 자동검증 88.0점 × 50% + Judge 88.0점 × 50%. Judge: 모순을 정확히 지적했으나, '총 8주치 데이터를 분석했다'는 문장에서 발생하는 두 번째 모순(6주 진행 vs 8주 데이터)은 언급되지 않아 감점"
DeepSeek-R1-Distill-Llama-8B-Q6_K,K04,Critic,100.0,hybrid,"Hybrid: 자동검증 100.0점 × 55% + Judge 100.0점 × 45%. Judge: 두 가지 보안 문제를 정확히 식별하고 수정 방향을 명시했으며, 자동 검증 결과와 일치함."
DeepSeek-R1-Distill-Llama-8B-Q6_K,K05,Critic,60.0,hybrid,"Hybrid: 자동검증 60.0점 × 50% + Judge 60.0점 × 50%. Judge: 자동 검증 결과에 따라 '보장'과 '모든 제조현장'이 누락되어 감점되었으나, 다른 비판 항목은 적절히 다루었음. 그러나 '불확실성' 관련 내용은 충분히 설명되지 않음."
DeepSeek-R1-Distill-Llama-8B-Q6_K,D01,Data,100.0,objective,정답 86.0 발견
DeepSeek-R1-Distill-Llama-8B-Q6_K,D02,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-Distill-Llama-8B-Q6_K,D03,Data,100.0,objective,정답 0.2687 발견
DeepSeek-R1-Distill-Llama-8B-Q6_K,D04,Data,30.0,objective,AST 파싱 실패; 제한적 키워드 점수 2/4
DeepSeek-R1-Distill-Llama-8B-Q6_K,D05,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-Distill-Llama-8B-Q6_K,P01,PPT,86.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 75.0점 × 55%. Judge: 6장 구성은 충족했으나, 각 슬라이드의 핵심 메시지가 한 가지로 명확하지 않음. 예를 들어 '공장 설비 예지보전 개요' 슬라이드는 세 가지 항목을 나열해 하나의 메시지를 전달하지 못함. 또한 경영진 관점에서의 핵심 메시지가 부족함."
DeepSeek-R1-Distill-Llama-8B-Q6_K,P02,PPT,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 35% + Judge 70.0점 × 65%. Judge: 차트 유형과 제목은 적절하지만, 수치(5.2%, 4.8%, 3.1%)가 슬라이드에 명시되지 않아 자동 검증에서 실패함. 파일럿 라인임을 강조한 점은 긍정적이지만, 전체적인 정보량이 부족해 1장의 슬라이드로는 부적절함."
DeepSeek-R1-Distill-Llama-8B-Q6_K,P03,PPT,80.0,hybrid,"Hybrid: 자동검증 84.0점 × 45% + Judge 84.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 슬라이드 3과 4에서 각각 3개의 핵심 내용이 제시되어 자동검증에서 감점되었으나, 나머지 항목은 충족됨."
DeepSeek-R1-Distill-Llama-8B-Q6_K,P04,PPT,50.0,objective,필수개념 1/2
DeepSeek-R1-Distill-Llama-8B-Q6_K,R01,Research,66.66666666666667,objective,필수개념 2/3
DeepSeek-R1-Distill-Llama-8B-Q6_K,R02,Research,50.0,objective,필수개념 2/4
DeepSeek-R1-Distill-Llama-8B-Q6_K,R03,Research,92.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 85.0점 × 50%. Judge: 센서 A와 B 모두 요구조건을 충족하지 못함을 정확히 판단했으나, 센서 A의 정확도가 ±0.5°C로 요구사항 ±0.8°C 이내를 만족하는 점에서 설명이 부정확함. 또한 '기타' 항목에 포함된 내용은 평가 기준과는 무관한 추가 정보로, 필요 없는 설명이 포함됨."
DeepSeek-R1-Distill-Llama-8B-Q6_K,R04,Research,55.0,objective,"필수개념 3/4, 추측항목 포함 ['냉각팬'] → -20"
DeepSeek-R1-Distill-Llama-8B-Q6_K,W01,Writer,75.5,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 80.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 사실은 모두 포함했으나, 자동검증에서 지적된 글자 수 미달(119자)로 인해 감점됨. 보고서 문체는 적절하며 과장 없이 객관적으로 서술함."
DeepSeek-R1-Distill-Llama-8B-Q6_K,W02,Writer,91.75,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 85.0점 × 55%. Judge: 3문장으로 정확히 구성되었으나, '고차원 임베딩 공간'과 같은 전문 용어를 풀이하지 않아 비전공자 친화성이 약간 부족함."
DeepSeek-R1-Distill-Llama-8B-Q6_K,W03,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 예산과 정확도의 트레이드오프를 언급하고 두 조건에 따른 권고를 구분했으나, 수치와 세부적인 비교가 부족하며 분량이 너무 짧음."
DeepSeek-R1-Distill-Llama-8B-Q6_K,W04,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 원인 미확정, 담당 구분, 금요일 재점검이 모두 충족되었으나, 글자 수가 부족해 감점됨."
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,C01,Coding,100.0,objective,필수개념 2/2
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,C02,Coding,100.0,objective,필수개념 3/3
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,C03,Coding,80.0,objective,필수개념 4/5
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,C04,Coding,100.0,objective,"유효 알고리즘=PASS(seen set + append/add), 평균 O(n) 설명=PASS"
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,C05,Coding,100.0,objective,필수개념 3/3
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,K01,Critic,50.0,objective,필수개념 1/2
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,K02,Critic,0.0,objective,필수개념 0/4
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,K03,Critic,58.0,hybrid,"Hybrid: 자동검증 52.0점 × 50% + Judge 64.0점 × 50%. Judge: 모순이 두 가지 존재함을 지적했으나, 자동검증 결과에서 요구된 핵심 수치(6주, 7월 31일, 약 4주, 8주) 중 일부가 누락되어 감점됨."
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,K04,Critic,100.0,hybrid,"Hybrid: 자동검증 100.0점 × 55% + Judge 100.0점 × 45%. Judge: 두 가지 보안 문제를 정확히 식별하고 수정 방향을 명확하게 제시함. 자동 검증 결과와도 일치하며, 내용 품질과 논리가 모두 충족됨."
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,K05,Critic,60.0,hybrid,"Hybrid: 자동검증 60.0점 × 50% + Judge 60.0점 × 50%. Judge: 자동 검증 결과에서 '작은 표본'과 '불확실성' 관련 항목이 누락/미준수로 지적되었으나, 응답에서는 이를 반영하지 않았다. 또한 '모든 제조현장'에 대한 외적 타당성 문제는 언급했지만, 구체적인 설명이 부족하다."
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,D01,Data,100.0,objective,정답 86.0 발견
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,D02,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,D03,Data,100.0,objective,정답 0.2687 발견
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,D04,Data,70.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=FAIL"
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,D05,Data,100.0,objective,수치정답 2/2
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,P01,PPT,65.0,hybrid,"Hybrid: 자동검증 65.0점 × 45% + Judge 65.0점 × 55%, 실패한 핵심조건 상한 75.0점. Judge: 슬라이드 수가 7장으로 요구사항을 초과하여 감점되었으며, 전체적인 흐름은 잘 구성되어 있지만 표지 포함 6장이 아닌 점에서 기본 요건 미준수"
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,P02,PPT,83.75,hybrid,"Hybrid: 자동검증 100.0점 × 35% + Judge 75.0점 × 65%. Judge: 차트 유형 두 가지를 제안한 점은 긍정적이지만, 추세 비교에 적절한 차트는 하나만 선택해야 한다. 또한 '특히显著한 progress'라는 표현은 과도한 인과 주장으로 보인다."
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,P03,PPT,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 70.0점. Judge: 총 4장으로 부족하고, 슬라이드별 핵심 내용이 2개 미만인 경우가 있음. VRAM 설명은 정확하지만, 멀티에이전트 역할배치 이유는 전혀 언급되지 않음."
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,P04,PPT,100.0,objective,필수개념 2/2
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,R01,Research,100.0,objective,필수개념 3/3
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,R02,Research,50.0,objective,필수개념 2/4
