model,gguf_files,total_gib,top_folder,paths
Qwen_Qwen3-14B-Q6_K,1,11.289,12-14GB,C:\AI\Models\12-14GB\Qwen3-14B-Q6_K\Qwen_Qwen3-14B-Q6_K.gguf
phi-4-Q6_K,1,11.204,12-14GB,C:\AI\Models\12-14GB\Phi-4-Q6_K\phi-4-Q6_K.gguf
Qwen_Qwen3-14B-Q5_K_L,1,10.24,10-12GB,C:\AI\Models\10-12GB\Qwen3-14B-Q5_K_L\Qwen_Qwen3-14B-Q5_K_L.gguf
phi-4-Q5_K_L,1,10.171,10-12GB,C:\AI\Models\10-12GB\Phi-4-Q5_K_L\phi-4-Q5_K_L.gguf
phi-4-Q5_K_M,1,9.876,10-12GB,C:\AI\Models\10-12GB\Phi-4-Q5_K_M\phi-4-Q5_K_M.gguf
Qwen_Qwen3-14B-Q5_K_M,1,9.792,10-12GB,C:\AI\Models\10-12GB\Qwen3-14B-Q5_K_M\Qwen_Qwen3-14B-Q5_K_M.gguf
DeepSeek-R1-Distill-Qwen-14B-Q5_K_M,1,9.787,12GB,C:\AI\Models\12GB\DeepSeek-R1-Distill-Qwen-14B-Q5_K_M\DeepSeek-R1-Distill-Qwen-14B-Q5_K_M.gguf
Qwen2.5-14B-Instruct-Q5_K_M,1,9.787,12GB,C:\AI\Models\12GB\Qwen2.5-14B-Q5_K_M\Qwen2.5-14B-Instruct-Q5_K_M.gguf
Qwen2.5-Coder-14B-Instruct-Q5_K_M,1,9.787,12GB,C:\AI\Models\12GB\Qwen2.5-Coder-14B-Q5_K_M\Qwen2.5-Coder-14B-Instruct-Q5_K_M.gguf
Mistral-Nemo-Instruct-2407-Q6_K,1,9.366,12GB,C:\AI\Models\12GB\Mistral-Nemo-12B-Q6_K\Mistral-Nemo-Instruct-2407-Q6_K.gguf
GLM-4-9B-0414-Q8_0,1,9.313,12GB,C:\AI\Models\12GB\GLM-4-9B-0414-Q8_0\GLM-4-9B-0414-Q8_0.gguf
google_gemma-3-12b-it-Q6_K,1,8.997,8-10GB,C:\AI\Models\8-10GB\Gemma-3-12B-Q6_K\google_gemma-3-12b-it-Q6_K.gguf
Ministral-3-14B-Instruct-2512-Q5_K_M,1,8.96,12GB,C:\AI\Models\12GB\Ministral-3-14B-Instruct-Q5_K_M\Ministral-3-14B-Instruct-2512-Q5_K_M.gguf
Ministral-3-14B-Reasoning-2512-Q5_K_M,1,8.96,12GB,C:\AI\Models\12GB\Ministral-3-14B-Reasoning-Q5_K_M\Ministral-3-14B-Reasoning-2512-Q5_K_M.gguf
Qwen_Qwen3-14B-Q4_K_L,1,8.921,8-10GB,C:\AI\Models\8-10GB\Qwen3-14B-Q4_K_L\Qwen_Qwen3-14B-Q4_K_L.gguf
Qwen3.5-9B-Q8_0,1,8.873,12GB,C:\AI\Models\12GB\Qwen3.5-9B-Q8_0\Qwen3.5-9B-Q8_0.gguf
phi-4-Q4_K_L,1,8.787,8-10GB,C:\AI\Models\8-10GB\Phi-4-Q4_K_L\phi-4-Q4_K_L.gguf
phi-4-Q4_K_M,1,8.431,8-10GB,C:\AI\Models\8-10GB\Phi-4-Q4_K_M\phi-4-Q4_K_M.gguf
Phi-4-reasoning-plus-Q4_K_M,1,8.431,12GB,C:\AI\Models\12GB\Phi-4-Reasoning-Plus-Q4_K_M\Phi-4-reasoning-plus-Q4_K_M.gguf
Qwen_Qwen3-14B-Q4_K_M,1,8.384,8-10GB,C:\AI\Models\8-10GB\Qwen3-14B-Q4_K_M\Qwen_Qwen3-14B-Q4_K_M.gguf
granite-3.3-8b-instruct-Q8_0,1,8.088,12GB,C:\AI\Models\12GB\Granite-3.3-8B-Q8_0\granite-3.3-8b-instruct-Q8_0.gguf
google_gemma-3-12b-it-Q5_K_M,1,7.865,8-10GB,C:\AI\Models\8-10GB\Gemma-3-12B-Q5_K_M\google_gemma-3-12b-it-Q5_K_M.gguf
Mistral-Nemo-Instruct-2407-Q4_K_M,1,6.964,8GB,C:\AI\Models\8GB\Mistral-Nemo-12B-Q4_K_M\Mistral-Nemo-Instruct-2407-Q4_K_M.gguf
granite-4.0-h-tiny-Q8_0,1,6.883,8GB,C:\AI\Models\8GB\Granite-4.0-H-Tiny-Q8_0\granite-4.0-h-tiny-Q8_0.gguf
Qwen3.5-9B-Q6_K,1,6.854,8GB,C:\AI\Models\8GB\Qwen3.5-9B-Q6_K\Qwen3.5-9B-Q6_K.gguf
google_gemma-3-12b-it-Q4_K_M,1,6.799,6-8GB,C:\AI\Models\6-8GB\Gemma-3-12B-Q4_K_M\google_gemma-3-12b-it-Q4_K_M.gguf
internlm3-8b-instruct-Q6_K,1,6.73,8GB,C:\AI\Models\8GB\InternLM3-8B-Q6_K\internlm3-8b-instruct-Q6_K.gguf
Ministral-3-8B-Instruct-2512-Q6_K,1,6.494,8GB,C:\AI\Models\8GB\Ministral-3-8B-Instruct-Q6_K\Ministral-3-8B-Instruct-2512-Q6_K.gguf
Ministral-3-8B-Reasoning-2512-Q6_K,1,6.494,8GB,C:\AI\Models\8GB\Ministral-3-8B-Reasoning-Q6_K\Ministral-3-8B-Reasoning-2512-Q6_K.gguf
DeepSeek-R1-0528-Qwen3-8B-Q6_K,1,6.264,8GB,C:\AI\Models\8GB\DeepSeek-R1-0528-Qwen3-8B-Q6_K\DeepSeek-R1-0528-Qwen3-8B-Q6_K.gguf
Qwen3-8B-Q6_K,1,6.264,8GB,C:\AI\Models\8GB\Qwen3-8B-Q6_K\Qwen3-8B-Q6_K.gguf
Qwen3-VL-8B-Instruct-Q6_K,1,6.264,8GB,C:\AI\Models\8GB\Qwen3-VL-8B-Q6_K\Qwen3-VL-8B-Instruct-Q6_K.gguf
granite-3.3-8b-instruct-Q6_K,1,6.245,8GB,C:\AI\Models\8GB\Granite-3.3-8B-Q6_K\granite-3.3-8b-instruct-Q6_K.gguf
DeepSeek-R1-Distill-Llama-8B-Q6_K,1,6.143,8GB,C:\AI\Models\8GB\DeepSeek-R1-Llama-8B-Q6_K\DeepSeek-R1-Distill-Llama-8B-Q6_K.gguf
Meta-Llama-3-8B-Instruct-Q6_K,1,6.143,8GB,C:\AI\Models\8GB\Llama-3-8B-Q6_K\Meta-Llama-3-8B-Instruct-Q6_K.gguf
Meta-Llama-3.1-8B-Instruct-Q6_K,1,6.143,8GB,C:\AI\Models\8GB\Llama-3.1-8B-Q6_K\Meta-Llama-3.1-8B-Instruct-Q6_K.gguf
OpenCoder-8B-Instruct-Q6_K,1,5.94,8GB,C:\AI\Models\8GB\OpenCoder-8B-Q6_K\OpenCoder-8B-Instruct-Q6_K.gguf
DeepSeek-R1-Distill-Qwen-7B-Q6_K,1,5.825,8GB,C:\AI\Models\8GB\DeepSeek-R1-Qwen-7B-Q6_K\DeepSeek-R1-Distill-Qwen-7B-Q6_K.gguf
Qwen2.5-7B-Instruct-Q6_K,1,5.825,8GB,C:\AI\Models\8GB\Qwen2.5-7B-Q6_K\Qwen2.5-7B-Instruct-Q6_K.gguf
Qwen2.5-Coder-7B-Instruct-Q6_K,1,5.825,8GB,C:\AI\Models\8GB\Qwen2.5-Coder-7B-Q6_K\Qwen2.5-Coder-7B-Instruct-Q6_K.gguf
Falcon-H1-7B-Instruct-Q6_K,1,5.804,8GB,C:\AI\Models\8GB\Falcon-H1-7B-Q6_K\Falcon-H1-7B-Instruct-Q6_K.gguf
GLM-4-9B-0414-Q4_K_M,1,5.743,8GB,C:\AI\Models\8GB\GLM-4-9B-0414-Q4_K_M\GLM-4-9B-0414-Q4_K_M.gguf
Mistral-7B-Instruct-v0.3-Q6_K,1,5.539,8GB,C:\AI\Models\8GB\Mistral-7B-v0.3-Q6_K\Mistral-7B-Instruct-v0.3-Q6_K.gguf
Qwen3.5-9B-Q4_K_M,1,5.241,6GB,C:\AI\Models\6GB\Qwen3.5-9B-Q4_K_M\Qwen3.5-9B-Q4_K_M.gguf
internlm3-8b-instruct-Q4_K_M,1,4.991,6GB,C:\AI\Models\6GB\InternLM3-8B-Q4_K_M\internlm3-8b-instruct-Q4_K_M.gguf
Ministral-3-8B-Instruct-2512-Q4_K_M,1,4.841,6GB,C:\AI\Models\6GB\Ministral-3-8B-Instruct-Q4_K_M\Ministral-3-8B-Instruct-2512-Q4_K_M.gguf
Ministral-3-8B-Reasoning-2512-Q4_K_M,1,4.841,6GB,C:\AI\Models\6GB\Ministral-3-8B-Reasoning-Q4_K_M\Ministral-3-8B-Reasoning-2512-Q4_K_M.gguf
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,1,4.682,6GB,C:\AI\Models\6GB\DeepSeek-R1-0528-Qwen3-8B-Q4_K_M\DeepSeek-R1-0528-Qwen3-8B-Q4_K_M.gguf
Qwen3-8B-Q4_K_M,1,4.682,6GB,C:\AI\Models\6GB\Qwen3-8B-Q4_K_M\Qwen3-8B-Q4_K_M.gguf
Qwen3-VL-8B-Instruct-Q4_K_M,1,4.682,6GB,C:\AI\Models\6GB\Qwen3-VL-8B-Q4_K_M\Qwen3-VL-8B-Instruct-Q4_K_M.gguf
granite-4.0-h-tiny-Q5_K_M,1,4.609,6GB,C:\AI\Models\6GB\Granite-4.0-H-Tiny-Q5_K_M\granite-4.0-h-tiny-Q5_K_M.gguf
granite-3.3-8b-instruct-Q4_K_M,1,4.603,6GB,C:\AI\Models\6GB\Granite-3.3-8B-Q4_K_M\granite-3.3-8b-instruct-Q4_K_M.gguf
DeepSeek-R1-Distill-Llama-8B-Q4_K_M,1,4.583,6GB,C:\AI\Models\6GB\DeepSeek-R1-Llama-8B-Q4_K_M\DeepSeek-R1-Distill-Llama-8B-Q4_K_M.gguf
Meta-Llama-3-8B-Instruct-Q4_K_M,1,4.583,6GB,C:\AI\Models\6GB\Llama-3-8B-Q4_K_M\Meta-Llama-3-8B-Instruct-Q4_K_M.gguf
Meta-Llama-3.1-8B-Instruct-Q4_K_M,1,4.583,6GB,C:\AI\Models\6GB\Llama-3.1-8B-Q4_K_M\Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf
OpenCoder-8B-Instruct-Q4_K_M,1,4.411,6GB,C:\AI\Models\6GB\OpenCoder-8B-Q4_K_M\OpenCoder-8B-Instruct-Q4_K_M.gguf
DeepSeek-R1-Distill-Qwen-7B-Q4_K_M,1,4.361,6GB,C:\AI\Models\6GB\DeepSeek-R1-Qwen-7B-Q4_K_M\DeepSeek-R1-Distill-Qwen-7B-Q4_K_M.gguf
Qwen2.5-7B-Instruct-Q4_K_M,1,4.361,6GB,C:\AI\Models\6GB\Qwen2.5-7B-Q4_K_M\Qwen2.5-7B-Instruct-Q4_K_M.gguf
Qwen2.5-Coder-7B-Instruct-Q4_K_M,1,4.361,6GB,C:\AI\Models\6GB\Qwen2.5-Coder-7B-Q4_K_M\Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf
Falcon-H1-7B-Instruct-Q4_K_M,1,4.283,6GB,C:\AI\Models\6GB\Falcon-H1-7B-Q4_K_M\Falcon-H1-7B-Instruct-Q4_K_M.gguf
qwen3.5-4b-instruct-Q8_0,1,4.175,6GB,C:\AI\Models\6GB\Qwen3.5-4B-Instruct-Q8_0\qwen3.5-4b-instruct-Q8_0.gguf
Mistral-7B-Instruct-v0.3-Q4_K_M,1,4.072,6GB,C:\AI\Models\6GB\Mistral-7B-v0.3-Q4_K_M\Mistral-7B-Instruct-v0.3-Q4_K_M.gguf
Qwen3-4B-Q8_0,1,3.986,6GB,C:\AI\Models\6GB\Qwen3-4B-Q8_0\Qwen3-4B-Q8_0.gguf
google_gemma-3-4b-it-Q8_0,1,3.847,4-6GB,C:\AI\Models\4-6GB\Gemma-3-4B-Q8_0\google_gemma-3-4b-it-Q8_0.gguf
microsoft_Phi-4-mini-instruct-Q8_0,1,3.804,4GB,C:\AI\Models\4GB\Phi-4-Mini-Q8_0\microsoft_Phi-4-mini-instruct-Q8_0.gguf
microsoft_Phi-4-mini-reasoning-Q8_0,1,3.804,4GB,C:\AI\Models\4GB\Phi-4-Mini-Reasoning-Q8_0\microsoft_Phi-4-mini-reasoning-Q8_0.gguf
Ministral-3-3B-Instruct-2512-Q8_0,1,3.401,4GB,C:\AI\Models\4GB\Ministral-3-3B-Q8_0\Ministral-3-3B-Instruct-2512-Q8_0.gguf
Ministral-3-3B-Reasoning-2512-Q8_0,1,3.401,4GB,C:\AI\Models\4GB\Ministral-3-3B-Reasoning-Q8_0\Ministral-3-3B-Reasoning-2512-Q8_0.gguf
granite-4.0-micro-Q8_0,1,3.371,4GB,C:\AI\Models\4GB\Granite-4.0-Micro-Q8_0\granite-4.0-micro-Q8_0.gguf
Llama-3.2-3B-Instruct-Q8_0,1,3.187,4GB,C:\AI\Models\4GB\Llama-3.2-3B-Q8_0\Llama-3.2-3B-Instruct-Q8_0.gguf
granite-4.0-h-micro-Q8_0,1,3.164,4GB,C:\AI\Models\4GB\Granite-4.0-H-Micro-Q8_0\granite-4.0-h-micro-Q8_0.gguf
Qwen3-4B-Q6_K,1,3.079,4GB,C:\AI\Models\4GB\Qwen3-4B-Q6_K\Qwen3-4B-Q6_K.gguf
Qwen2.5-3B-Instruct-Q8_0,1,3.06,4GB,C:\AI\Models\4GB\Qwen2.5-3B-Q8_0\Qwen2.5-3B-Instruct-Q8_0.gguf
Qwen2.5-Coder-3B-Instruct-Q8_0,1,3.06,4GB,C:\AI\Models\4GB\Qwen2.5-Coder-3B-Q8_0\Qwen2.5-Coder-3B-Instruct-Q8_0.gguf
SmolLM3-Q8_0,1,3.051,4GB,C:\AI\Models\4GB\SmolLM3-3B-Q8_0\SmolLM3-Q8_0.gguf
google_gemma-3-4b-it-Q6_K,1,2.971,3-4GB,C:\AI\Models\3-4GB\Gemma-3-4B-Q6_K\google_gemma-3-4b-it-Q6_K.gguf
google_gemma-3-4b-it-Q5_K_M,1,2.635,3GB,C:\AI\Models\3GB\Gemma-3-4B-Q5_K_M\google_gemma-3-4b-it-Q5_K_M.gguf
qwen3.5-4b-instruct-Q4_K_M,1,2.523,3GB,C:\AI\Models\3GB\Qwen3.5-4B-Instruct-Q4_K_M\qwen3.5-4b-instruct-Q4_K_M.gguf
granite-3.3-2b-instruct-Q8_0,1,2.509,3GB,C:\AI\Models\3GB\Granite-3.3-2B-Q8_0\granite-3.3-2b-instruct-Q8_0.gguf
Qwen3-4B-Q4_K_M,1,2.326,3GB,C:\AI\Models\3GB\Qwen3-4B-Q4_K_M\Qwen3-4B-Q4_K_M.gguf
microsoft_Phi-4-mini-instruct-Q4_K_M,1,2.321,3GB,C:\AI\Models\3GB\Phi-4-Mini-Q4_K_M\microsoft_Phi-4-mini-instruct-Q4_K_M.gguf
microsoft_Phi-4-mini-reasoning-Q4_K_M,1,2.321,3GB,C:\AI\Models\3GB\Phi-4-Mini-Reasoning-Q4_K_M\microsoft_Phi-4-mini-reasoning-Q4_K_M.gguf
google_gemma-3-4b-it-Q4_K_M,1,2.319,3GB,C:\AI\Models\3GB\Gemma-3-4B-Q4_K_M\google_gemma-3-4b-it-Q4_K_M.gguf
Ministral-3-3B-Instruct-2512-Q4_K_M,1,1.999,3GB,C:\AI\Models\3GB\Ministral-3-3B-Q4_K_M\Ministral-3-3B-Instruct-2512-Q4_K_M.gguf
Ministral-3-3B-Reasoning-2512-Q4_K_M,1,1.999,3GB,C:\AI\Models\3GB\Ministral-3-3B-Reasoning-Q4_K_M\Ministral-3-3B-Reasoning-2512-Q4_K_M.gguf
granite-4.0-micro-Q4_K_M,1,1.955,3GB,C:\AI\Models\3GB\Granite-4.0-Micro-Q4_K_M\granite-4.0-micro-Q4_K_M.gguf
Llama-3.2-3B-Instruct-Q4_K_M,1,1.881,3GB,C:\AI\Models\3GB\Llama-3.2-3B-Q4_K_M\Llama-3.2-3B-Instruct-Q4_K_M.gguf
granite-4.0-h-micro-Q4_K_M,1,1.809,3GB,C:\AI\Models\3GB\Granite-4.0-H-Micro-Q4_K_M\granite-4.0-h-micro-Q4_K_M.gguf
Qwen2.5-3B-Instruct-Q4_K_M,1,1.797,3GB,C:\AI\Models\3GB\Qwen2.5-3B-Q4_K_M\Qwen2.5-3B-Instruct-Q4_K_M.gguf
Qwen2.5-Coder-3B-Instruct-Q4_K_M,1,1.797,3GB,C:\AI\Models\3GB\Qwen2.5-Coder-3B-Q4_K_M\Qwen2.5-Coder-3B-Instruct-Q4_K_M.gguf
SmolLM3-Q4_K_M,1,1.784,3GB,C:\AI\Models\3GB\SmolLM3-3B-Q4_K_M\SmolLM3-Q4_K_M.gguf
